#Ma so; Ten; Loai; Gia tien
100;P. 401;VIP;1500000
101;P. 402;VIP;1500000
102;P. 403;VIP;1500000
103;P. 404;VIP;1500000
104;P. 405;VIP;1500000
105;P. 406;VIP;1500000
106;P. 407;VIP;1500000
107;P. 408;VIP;1500000
108;P. 301;P-DON;500000
109;P. 302;P-DOI;800000
110;P. 303;P-DON;500000
111;P. 304;P-DOI;800000
112;P. 305;P-DON;500000
113;P. 306;P-DOI;800000
114;P. 307;P-DON;500000
115;P. 308;P-DON;500000
116;P. 201;P-DOI;800000
117;P. 202;P-DOI;800000
118;P. 203;P-DON;500000
119;P. 204;P-DOI;800000
120;P. 205;P-DON;500000
121;P. 206;P-DON;500000
122;P. 207;P-DOI;800000
123;P. 208;P-DOI;800000
124;P. 101;P-DON;500000
125;P. 102;P-DON;500000
126;P. 103;P-DOI;800000
127;P. 104;P-DON;500000
128;P. 105;P-DOI;800000
129;P. 106;P-DOI;800000
130;P. 107;P-DON;500000
131;P. 108;P-DON;500000
